,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d
0,0.0,0.5,0.2,0.625,0.375,0.09995999999999998,0.89964,3.999999999999999e-05,0.00036
1,0.200133422281521,0.5,0.2,0.625,0.375,0.0964156734715296,0.9031618923433576,4.519294319977878e-05,0.0003772412419127561
2,0.400266844563042,0.5,0.2,0.625,0.375,0.0929841642462981,0.9065698008064431,5.064283656788541e-05,0.00039539211069060745
3,0.600400266844563,0.5,0.2,0.625,0.375,0.08966278709293792,0.9098663461181403,5.635714231744526e-05,0.0004145096466040134
4,0.800533689126084,0.5,0.2,0.625,0.375,0.08644887520615961,0.9130541265202203,6.234379564826066e-05,0.0004346544779715384
5,1.0006671114076051,0.5,0.2,0.625,0.375,0.08333976831174846,0.9161357274111575,6.861147039292788e-05,0.00045589280670091495
6,1.200800533689126,0.5,0.2,0.625,0.375,0.08033280444105995,0.9191137368129206,7.51687310819324e-05,0.000478290014937396
7,1.400933955970647,0.5,0.2,0.625,0.375,0.07742533778242962,0.9219907207676131,8.202480874794009e-05,0.0005019166412092256
8,1.601067378252168,0.5,0.2,0.625,0.375,0.0746147494745522,0.9247692083847538,8.919007906366559e-05,0.0005268520616301723
9,1.801200800533689,0.5,0.2,0.625,0.375,0.07189843313625918,0.9274517147894451,9.667508193204537e-05,0.0005531769923634602
10,2.0013342228152102,0.5,0.2,0.625,0.375,0.06927381649777554,0.9300407128210959,0.00010449128276701122,0.0005809793983612866
11,2.201467645096731,0.5,0.2,0.625,0.375,0.066738342559227,0.9325386572577797,0.00011265044154386073,0.0006103497414490648
12,2.401601067378252,0.5,0.2,0.625,0.375,0.064289501977223,0.9349479451868952,0.0001211654187493956,0.0006413874171321995
13,2.601734489659773,0.5,0.2,0.625,0.375,0.06192481889646335,0.9372709336579951,0.00013004976529114673,0.0006741976802501216
14,2.801867911941294,0.5,0.2,0.625,0.375,0.0596418441656142,0.9395099476943672,0.00013931758996412624,0.0007088905500541513
15,3.002001334222815,0.5,0.2,0.625,0.375,0.05743818546464461,0.9416672441575614,0.0001489841736254493,0.0007455862041682605
16,3.202134756504336,0.5,0.2,0.625,0.375,0.055311464318759815,0.9437450631983032,0.00015906507887461255,0.0007844074040621667
17,3.402268178785857,0.5,0.2,0.625,0.375,0.053259372250721033,0.9457455606493457,0.00016957730563112202,0.0008254897943018023
18,3.602401601067378,0.5,0.2,0.625,0.375,0.051279632477743496,0.9476708536186496,0.0001805385065211126,0.0008689753970854975
19,3.802535023348899,0.5,0.2,0.625,0.375,0.049370023366681004,0.9495229925773907,0.00019196747375707185,0.0009150165821708891
