,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,999.0,1.0,257.0,743.0
2,0,2,998.0,2.0,217.0,783.0
3,0,3,985.0,15.0,208.0,792.0
4,0,4,564.0,436.0,27.0,973.0
5,0,5,198.0,802.0,16.0,984.0
6,0,6,72.0,928.0,16.0,984.0
7,0,7,14.0,986.0,16.0,984.0
8,0,8,5.0,995.0,16.0,984.0
9,0,9,2.0,998.0,16.0,984.0
10,0,10,13.0,987.0,16.0,984.0
11,0,11,425.0,575.0,16.0,984.0
12,0,12,538.0,462.0,16.0,984.0
13,0,13,325.0,675.0,16.0,984.0
14,0,14,146.0,854.0,16.0,984.0
15,0,15,60.0,940.0,16.0,984.0
16,0,16,36.0,964.0,16.0,984.0
17,0,17,9.0,991.0,16.0,984.0
18,0,18,11.0,989.0,16.0,984.0
19,0,19,253.0,747.0,16.0,984.0
20,0,20,392.0,608.0,16.0,984.0
21,0,21,418.0,582.0,16.0,984.0
22,0,22,247.0,753.0,16.0,984.0
23,0,23,80.0,920.0,16.0,984.0
24,0,24,48.0,952.0,16.0,984.0
25,0,25,25.0,975.0,16.0,984.0
26,0,26,15.0,985.0,16.0,984.0
27,0,27,201.0,799.0,16.0,984.0
28,0,28,264.0,736.0,16.0,984.0
29,0,29,333.0,667.0,16.0,984.0
30,0,30,274.0,726.0,16.0,984.0
31,0,31,188.0,812.0,17.0,983.0
32,0,32,84.0,916.0,117.0,883.0
33,0,33,56.0,944.0,170.0,830.0
34,0,34,35.0,965.0,201.0,799.0
35,0,35,166.0,834.0,518.0,482.0
36,0,36,306.0,694.0,610.0,390.0
37,0,37,409.0,591.0,664.0,336.0
38,0,38,419.0,581.0,688.0,312.0
39,0,39,364.0,636.0,692.0,308.0
40,0,40,241.0,759.0,663.0,337.0
41,0,41,175.0,825.0,717.0,283.0
42,0,42,139.0,861.0,720.0,280.0
43,0,43,140.0,860.0,731.0,269.0
44,0,44,231.0,769.0,735.0,265.0
45,0,45,296.0,704.0,739.0,261.0
46,0,46,381.0,619.0,741.0,259.0
47,0,47,431.0,569.0,742.0,258.0
48,0,48,388.0,612.0,742.0,258.0
49,0,49,334.0,666.0,742.0,258.0
50,0,50,304.0,696.0,742.0,258.0
51,0,51,269.0,731.0,742.0,258.0
52,0,52,263.0,737.0,742.0,258.0
53,0,53,300.0,700.0,742.0,258.0
54,0,54,342.0,658.0,742.0,258.0
55,0,55,331.0,669.0,742.0,258.0
56,0,56,294.0,706.0,742.0,258.0
57,0,57,258.0,742.0,742.0,258.0
58,0,58,252.0,748.0,742.0,258.0
59,0,59,238.0,762.0,741.0,259.0
60,0,60,195.0,805.0,748.0,252.0
61,0,61,193.0,807.0,748.0,252.0
62,0,62,266.0,734.0,748.0,252.0
63,0,63,299.0,701.0,750.0,250.0
64,0,64,303.0,697.0,750.0,250.0
65,0,65,285.0,715.0,750.0,250.0
66,0,66,257.0,743.0,750.0,250.0
67,0,67,268.0,732.0,749.0,251.0
68,0,68,261.0,739.0,753.0,247.0
69,0,69,243.0,757.0,756.0,244.0
70,0,70,272.0,728.0,803.0,197.0
71,0,71,316.0,684.0,803.0,197.0
