,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,999.0,1.0,608.0,392.0
2,0,2,998.0,2.0,596.0,404.0
3,0,3,902.0,98.0,553.0,447.0
4,0,4,768.0,232.0,94.0,906.0
5,0,5,592.0,408.0,93.0,907.0
6,0,6,459.0,541.0,105.0,895.0
7,0,7,308.0,692.0,127.0,873.0
8,0,8,198.0,802.0,146.0,854.0
9,0,9,139.0,861.0,211.0,789.0
10,0,10,193.0,807.0,266.0,734.0
11,0,11,268.0,732.0,245.0,755.0
12,0,12,368.0,632.0,286.0,714.0
13,0,13,410.0,590.0,289.0,711.0
14,0,14,408.0,592.0,399.0,601.0
15,0,15,398.0,602.0,418.0,582.0
16,0,16,364.0,636.0,496.0,504.0
17,0,17,319.0,681.0,653.0,347.0
18,0,18,262.0,738.0,660.0,340.0
19,0,19,242.0,758.0,714.0,286.0
20,0,20,243.0,757.0,725.0,275.0
21,0,21,297.0,703.0,725.0,275.0
22,0,22,316.0,684.0,727.0,273.0
23,0,23,324.0,676.0,734.0,266.0
24,0,24,328.0,672.0,738.0,262.0
25,0,25,338.0,662.0,741.0,259.0
26,0,26,338.0,662.0,742.0,258.0
27,0,27,342.0,658.0,746.0,254.0
28,0,28,375.0,625.0,741.0,259.0
29,0,29,410.0,590.0,753.0,247.0
30,0,30,345.0,655.0,754.0,246.0
31,0,31,325.0,675.0,754.0,246.0
32,0,32,338.0,662.0,754.0,246.0
33,0,33,342.0,658.0,754.0,246.0
34,0,34,296.0,704.0,755.0,245.0
35,0,35,259.0,741.0,754.0,246.0
36,0,36,242.0,758.0,755.0,245.0
37,0,37,310.0,690.0,753.0,247.0
38,0,38,319.0,681.0,755.0,245.0
39,0,39,338.0,662.0,755.0,245.0
40,0,40,348.0,652.0,753.0,247.0
41,0,41,405.0,595.0,728.0,272.0
42,0,42,428.0,572.0,750.0,250.0
43,0,43,447.0,553.0,774.0,226.0
44,0,44,441.0,559.0,783.0,217.0
45,0,45,387.0,613.0,798.0,202.0
46,0,46,320.0,680.0,774.0,226.0
47,0,47,289.0,711.0,802.0,198.0
48,0,48,254.0,746.0,802.0,198.0
49,0,49,246.0,754.0,803.0,197.0
50,0,50,227.0,773.0,802.0,198.0
51,0,51,233.0,767.0,801.0,199.0
52,0,52,314.0,686.0,803.0,197.0
53,0,53,357.0,643.0,803.0,197.0
54,0,54,369.0,631.0,803.0,197.0
55,0,55,346.0,654.0,803.0,197.0
56,0,56,309.0,691.0,803.0,197.0
57,0,57,276.0,724.0,803.0,197.0
58,0,58,254.0,746.0,803.0,197.0
59,0,59,241.0,759.0,803.0,197.0
60,0,60,266.0,734.0,803.0,197.0
61,0,61,297.0,703.0,801.0,199.0
62,0,62,368.0,632.0,805.0,195.0
63,0,63,443.0,557.0,774.0,226.0
64,0,64,476.0,524.0,535.0,465.0
65,0,65,495.0,505.0,741.0,259.0
66,0,66,439.0,561.0,634.0,366.0
67,0,67,398.0,602.0,641.0,359.0
68,0,68,370.0,630.0,664.0,336.0
69,0,69,341.0,659.0,677.0,323.0
70,0,70,254.0,746.0,686.0,314.0
71,0,71,242.0,758.0,692.0,308.0
72,0,72,238.0,762.0,696.0,304.0
73,0,73,293.0,707.0,682.0,318.0
74,0,74,312.0,688.0,686.0,314.0
75,0,75,302.0,698.0,703.0,297.0
76,0,76,289.0,711.0,708.0,292.0
77,0,77,333.0,667.0,709.0,291.0
78,0,78,322.0,678.0,708.0,292.0
79,0,79,344.0,656.0,708.0,292.0
80,0,80,329.0,671.0,720.0,280.0
81,0,81,331.0,669.0,719.0,281.0
82,0,82,347.0,653.0,808.0,192.0
83,0,83,350.0,650.0,809.0,191.0
84,0,84,344.0,656.0,808.0,192.0
85,0,85,355.0,645.0,807.0,193.0
86,0,86,281.0,719.0,771.0,229.0
87,0,87,271.0,729.0,781.0,219.0
