,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,999.0,1.0,558.0,442.0
2,0,2,999.0,1.0,624.0,376.0
3,0,3,999.0,1.0,592.0,408.0
4,0,4,998.0,2.0,43.0,957.0
5,0,5,877.0,123.0,17.0,983.0
6,0,6,678.0,322.0,4.0,996.0
7,0,7,514.0,486.0,2.0,998.0
8,0,8,387.0,613.0,2.0,998.0
9,0,9,288.0,712.0,2.0,998.0
10,0,10,228.0,772.0,2.0,998.0
11,0,11,143.0,857.0,3.0,997.0
12,0,12,222.0,778.0,2.0,998.0
13,0,13,366.0,634.0,2.0,998.0
14,0,14,445.0,555.0,2.0,998.0
15,0,15,467.0,533.0,2.0,998.0
16,0,16,458.0,542.0,2.0,998.0
17,0,17,425.0,575.0,2.0,998.0
18,0,18,363.0,637.0,2.0,998.0
19,0,19,282.0,718.0,2.0,998.0
20,0,20,269.0,731.0,2.0,998.0
21,0,21,294.0,706.0,2.0,998.0
22,0,22,286.0,714.0,2.0,998.0
23,0,23,286.0,714.0,2.0,998.0
24,0,24,272.0,728.0,2.0,998.0
25,0,25,333.0,667.0,2.0,998.0
26,0,26,326.0,674.0,2.0,998.0
27,0,27,261.0,739.0,2.0,998.0
28,0,28,230.0,770.0,2.0,998.0
29,0,29,270.0,730.0,2.0,998.0
30,0,30,305.0,695.0,2.0,998.0
31,0,31,331.0,669.0,2.0,998.0
32,0,32,334.0,666.0,2.0,998.0
33,0,33,388.0,612.0,2.0,998.0
34,0,34,455.0,545.0,2.0,998.0
35,0,35,459.0,541.0,2.0,998.0
36,0,36,362.0,638.0,2.0,998.0
37,0,37,301.0,699.0,2.0,998.0
38,0,38,284.0,716.0,2.0,998.0
39,0,39,268.0,732.0,2.0,998.0
40,0,40,248.0,752.0,2.0,998.0
41,0,41,236.0,764.0,2.0,998.0
42,0,42,242.0,758.0,2.0,998.0
43,0,43,331.0,669.0,2.0,998.0
44,0,44,361.0,639.0,2.0,998.0
45,0,45,337.0,663.0,3.0,997.0
46,0,46,313.0,687.0,2.0,998.0
47,0,47,312.0,688.0,2.0,998.0
48,0,48,272.0,728.0,2.0,998.0
