,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,999.0,1.0,246.0,754.0
2,0,2,998.0,2.0,228.0,772.0
3,0,3,989.0,11.0,215.0,785.0
4,0,4,666.0,334.0,163.0,837.0
5,0,5,332.0,668.0,12.0,988.0
6,0,6,176.0,824.0,11.0,989.0
7,0,7,69.0,931.0,9.0,991.0
8,0,8,24.0,976.0,9.0,991.0
9,0,9,8.0,992.0,9.0,991.0
10,0,10,11.0,989.0,9.0,991.0
11,0,11,324.0,676.0,9.0,991.0
12,0,12,430.0,570.0,9.0,991.0
13,0,13,286.0,714.0,9.0,991.0
14,0,14,187.0,813.0,9.0,991.0
15,0,15,105.0,895.0,9.0,991.0
16,0,16,54.0,946.0,9.0,991.0
17,0,17,21.0,979.0,9.0,991.0
18,0,18,23.0,977.0,9.0,991.0
19,0,19,241.0,759.0,9.0,991.0
20,0,20,388.0,612.0,9.0,991.0
21,0,21,364.0,636.0,9.0,991.0
22,0,22,246.0,754.0,9.0,991.0
23,0,23,162.0,838.0,9.0,991.0
24,0,24,120.0,880.0,9.0,991.0
25,0,25,49.0,951.0,9.0,991.0
26,0,26,21.0,979.0,9.0,991.0
27,0,27,159.0,841.0,9.0,991.0
28,0,28,309.0,691.0,9.0,991.0
29,0,29,422.0,578.0,9.0,991.0
30,0,30,285.0,715.0,9.0,991.0
31,0,31,168.0,832.0,9.0,991.0
32,0,32,129.0,871.0,9.0,991.0
33,0,33,76.0,924.0,9.0,991.0
34,0,34,44.0,956.0,9.0,991.0
35,0,35,105.0,895.0,10.0,990.0
36,0,36,161.0,839.0,9.0,991.0
37,0,37,339.0,661.0,9.0,991.0
38,0,38,371.0,629.0,9.0,991.0
39,0,39,321.0,679.0,9.0,991.0
40,0,40,286.0,714.0,9.0,991.0
41,0,41,144.0,856.0,9.0,991.0
42,0,42,71.0,929.0,9.0,991.0
43,0,43,99.0,901.0,9.0,991.0
44,0,44,141.0,859.0,9.0,991.0
45,0,45,205.0,795.0,9.0,991.0
46,0,46,233.0,767.0,9.0,991.0
47,0,47,203.0,797.0,9.0,991.0
48,0,48,263.0,737.0,9.0,991.0
49,0,49,172.0,828.0,10.0,990.0
50,0,50,109.0,891.0,10.0,990.0
51,0,51,101.0,899.0,9.0,991.0
52,0,52,135.0,865.0,9.0,991.0
53,0,53,172.0,828.0,9.0,991.0
54,0,54,199.0,801.0,9.0,991.0
55,0,55,194.0,806.0,10.0,990.0
56,0,56,239.0,761.0,9.0,991.0
57,0,57,220.0,780.0,9.0,991.0
58,0,58,221.0,779.0,9.0,991.0
59,0,59,140.0,860.0,10.0,990.0
60,0,60,145.0,855.0,9.0,991.0
61,0,61,181.0,819.0,9.0,991.0
62,0,62,193.0,807.0,9.0,991.0
63,0,63,196.0,804.0,9.0,991.0
64,0,64,182.0,818.0,9.0,991.0
65,0,65,130.0,870.0,9.0,991.0
66,0,66,190.0,810.0,10.0,990.0
67,0,67,220.0,780.0,10.0,990.0
68,0,68,242.0,758.0,10.0,990.0
69,0,69,201.0,799.0,10.0,990.0
70,0,70,195.0,805.0,9.0,991.0
71,0,71,199.0,801.0,9.0,991.0
72,0,72,209.0,791.0,9.0,991.0
73,0,73,159.0,841.0,9.0,991.0
74,0,74,132.0,868.0,9.0,991.0
75,0,75,114.0,886.0,9.0,991.0
76,0,76,200.0,800.0,9.0,991.0
77,0,77,209.0,791.0,9.0,991.0
78,0,78,228.0,772.0,10.0,990.0
79,0,79,207.0,793.0,9.0,991.0
80,0,80,205.0,795.0,10.0,990.0
81,0,81,173.0,827.0,9.0,991.0
82,0,82,147.0,853.0,9.0,991.0
83,0,83,126.0,874.0,9.0,991.0
84,0,84,175.0,825.0,9.0,991.0
85,0,85,169.0,831.0,10.0,990.0
86,0,86,195.0,805.0,9.0,991.0
87,0,87,200.0,800.0,9.0,991.0
88,0,88,186.0,814.0,9.0,991.0
89,0,89,179.0,821.0,9.0,991.0
90,0,90,156.0,844.0,9.0,991.0
91,0,91,138.0,862.0,9.0,991.0
92,0,92,168.0,832.0,10.0,990.0
93,0,93,158.0,842.0,9.0,991.0
94,0,94,195.0,805.0,9.0,991.0
95,0,95,204.0,796.0,10.0,990.0
96,0,96,188.0,812.0,9.0,991.0
97,0,97,181.0,819.0,9.0,991.0
98,0,98,158.0,842.0,9.0,991.0
99,0,99,155.0,845.0,9.0,991.0
100,0,100,182.0,818.0,9.0,991.0
101,0,101,195.0,805.0,10.0,990.0
102,0,102,190.0,810.0,9.0,991.0
103,0,103,188.0,812.0,9.0,991.0
104,0,104,192.0,808.0,9.0,991.0
105,0,105,190.0,810.0,9.0,991.0
106,0,106,166.0,834.0,9.0,991.0
107,0,107,147.0,853.0,10.0,990.0
108,0,108,135.0,865.0,9.0,991.0
109,0,109,186.0,814.0,9.0,991.0
110,0,110,197.0,803.0,9.0,991.0
111,0,111,192.0,808.0,9.0,991.0
112,0,112,185.0,815.0,9.0,991.0
113,0,113,187.0,813.0,10.0,990.0
114,0,114,171.0,829.0,9.0,991.0
115,0,115,143.0,857.0,10.0,990.0
116,0,116,130.0,870.0,10.0,990.0
117,0,117,174.0,826.0,9.0,991.0
118,0,118,178.0,822.0,9.0,991.0
119,0,119,192.0,808.0,9.0,991.0
120,0,120,197.0,803.0,9.0,991.0
121,0,121,186.0,814.0,9.0,991.0
122,0,122,189.0,811.0,9.0,991.0
123,0,123,169.0,831.0,9.0,991.0
124,0,124,132.0,868.0,10.0,990.0
125,0,125,178.0,822.0,9.0,991.0
126,0,126,168.0,832.0,9.0,991.0
127,0,127,160.0,840.0,9.0,991.0
128,0,128,202.0,798.0,9.0,991.0
129,0,129,204.0,796.0,9.0,991.0
130,0,130,186.0,814.0,9.0,991.0
131,0,131,183.0,817.0,9.0,991.0
132,0,132,131.0,869.0,9.0,991.0
133,0,133,178.0,822.0,9.0,991.0
134,0,134,196.0,804.0,9.0,991.0
135,0,135,180.0,820.0,9.0,991.0
136,0,136,172.0,828.0,9.0,991.0
137,0,137,184.0,816.0,9.0,991.0
138,0,138,200.0,800.0,9.0,991.0
139,0,139,189.0,811.0,9.0,991.0
140,0,140,144.0,856.0,9.0,991.0
141,0,141,157.0,843.0,9.0,991.0
142,0,142,161.0,839.0,9.0,991.0
143,0,143,180.0,820.0,9.0,991.0
144,0,144,196.0,804.0,9.0,991.0
145,0,145,176.0,824.0,9.0,991.0
146,0,146,208.0,792.0,9.0,991.0
147,0,147,241.0,759.0,9.0,991.0
148,0,148,196.0,804.0,9.0,991.0
149,0,149,187.0,813.0,9.0,991.0
0,1,0,999.0,1.0,500.0,500.0
1,1,1,996.0,4.0,261.0,739.0
2,1,2,757.0,243.0,30.0,970.0
3,1,3,460.0,540.0,20.0,980.0
4,1,4,182.0,818.0,16.0,984.0
5,1,5,79.0,921.0,16.0,984.0
6,1,6,25.0,975.0,16.0,984.0
7,1,7,10.0,990.0,16.0,984.0
8,1,8,9.0,991.0,16.0,984.0
9,1,9,243.0,757.0,16.0,984.0
10,1,10,466.0,534.0,16.0,984.0
11,1,11,505.0,495.0,16.0,984.0
12,1,12,283.0,717.0,16.0,984.0
13,1,13,156.0,844.0,16.0,984.0
14,1,14,70.0,930.0,16.0,984.0
15,1,15,30.0,970.0,17.0,983.0
16,1,16,15.0,985.0,15.0,985.0
17,1,17,76.0,924.0,11.0,989.0
18,1,18,263.0,737.0,10.0,990.0
19,1,19,404.0,596.0,10.0,990.0
20,1,20,362.0,638.0,10.0,990.0
21,1,21,222.0,778.0,10.0,990.0
22,1,22,126.0,874.0,10.0,990.0
23,1,23,67.0,933.0,10.0,990.0
24,1,24,31.0,969.0,10.0,990.0
25,1,25,62.0,938.0,10.0,990.0
26,1,26,208.0,792.0,10.0,990.0
27,1,27,340.0,660.0,10.0,990.0
28,1,28,356.0,644.0,10.0,990.0
29,1,29,301.0,699.0,10.0,990.0
30,1,30,246.0,754.0,10.0,990.0
