,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,999.0,1.0,605.0,395.0
2,0,2,999.0,1.0,597.0,403.0
3,0,3,999.0,1.0,553.0,447.0
4,0,4,998.0,2.0,536.0,464.0
5,0,5,956.0,44.0,10.0,990.0
6,0,6,834.0,166.0,0.0,1000.0
7,0,7,703.0,297.0,0.0,1000.0
8,0,8,574.0,426.0,0.0,1000.0
9,0,9,406.0,594.0,0.0,1000.0
10,0,10,301.0,699.0,0.0,1000.0
11,0,11,239.0,761.0,0.0,1000.0
12,0,12,224.0,776.0,0.0,1000.0
13,0,13,286.0,714.0,0.0,1000.0
14,0,14,350.0,650.0,0.0,1000.0
15,0,15,386.0,614.0,0.0,1000.0
16,0,16,442.0,558.0,0.0,1000.0
17,0,17,448.0,552.0,0.0,1000.0
18,0,18,386.0,614.0,0.0,1000.0
19,0,19,329.0,671.0,0.0,1000.0
20,0,20,290.0,710.0,0.0,1000.0
21,0,21,281.0,719.0,0.0,1000.0
22,0,22,308.0,692.0,0.0,1000.0
23,0,23,358.0,642.0,0.0,1000.0
24,0,24,374.0,626.0,0.0,1000.0
25,0,25,421.0,579.0,0.0,1000.0
26,0,26,444.0,556.0,0.0,1000.0
27,0,27,455.0,545.0,0.0,1000.0
28,0,28,449.0,551.0,0.0,1000.0
29,0,29,405.0,595.0,0.0,1000.0
30,0,30,345.0,655.0,0.0,1000.0
31,0,31,334.0,666.0,0.0,1000.0
32,0,32,327.0,673.0,0.0,1000.0
33,0,33,355.0,645.0,0.0,1000.0
34,0,34,355.0,645.0,0.0,1000.0
35,0,35,360.0,640.0,0.0,1000.0
36,0,36,372.0,628.0,0.0,1000.0
37,0,37,416.0,584.0,0.0,1000.0
38,0,38,422.0,578.0,0.0,1000.0
39,0,39,415.0,585.0,0.0,1000.0
40,0,40,362.0,638.0,0.0,1000.0
41,0,41,349.0,651.0,0.0,1000.0
42,0,42,333.0,667.0,0.0,1000.0
43,0,43,353.0,647.0,0.0,1000.0
44,0,44,336.0,664.0,0.0,1000.0
45,0,45,329.0,671.0,0.0,1000.0
46,0,46,347.0,653.0,0.0,1000.0
47,0,47,383.0,617.0,0.0,1000.0
48,0,48,397.0,603.0,0.0,1000.0
49,0,49,410.0,590.0,0.0,1000.0
50,0,50,397.0,603.0,0.0,1000.0
