,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,993.0,7.0,530.0,470.0
2,0,2,560.0,440.0,229.0,771.0
3,0,3,176.0,824.0,265.0,735.0
4,0,4,86.0,914.0,545.0,455.0
5,0,5,16.0,984.0,43.0,957.0
6,0,6,4.0,996.0,45.0,955.0
7,0,7,3.0,997.0,501.0,499.0
8,0,8,7.0,993.0,598.0,402.0
9,0,9,437.0,563.0,661.0,339.0
10,0,10,682.0,318.0,646.0,354.0
11,0,11,377.0,623.0,573.0,427.0
12,0,12,237.0,763.0,549.0,451.0
13,0,13,51.0,949.0,48.0,952.0
14,0,14,12.0,988.0,54.0,946.0
15,0,15,7.0,993.0,62.0,938.0
16,0,16,5.0,995.0,67.0,933.0
17,0,17,142.0,858.0,73.0,927.0
18,0,18,416.0,584.0,132.0,868.0
19,0,19,342.0,658.0,86.0,914.0
20,0,20,249.0,751.0,56.0,944.0
21,0,21,66.0,934.0,41.0,959.0
22,0,22,16.0,984.0,41.0,959.0
23,0,23,7.0,993.0,41.0,959.0
24,0,24,5.0,995.0,41.0,959.0
25,0,25,123.0,877.0,41.0,959.0
26,0,26,298.0,702.0,41.0,959.0
27,0,27,412.0,588.0,41.0,959.0
28,0,28,280.0,720.0,41.0,959.0
29,0,29,95.0,905.0,41.0,959.0
30,0,30,23.0,977.0,41.0,959.0
31,0,31,8.0,992.0,41.0,959.0
32,0,32,4.0,996.0,42.0,958.0
33,0,33,112.0,888.0,554.0,446.0
34,0,34,249.0,751.0,553.0,447.0
35,0,35,403.0,597.0,73.0,927.0
36,0,36,299.0,701.0,68.0,932.0
37,0,37,133.0,867.0,68.0,932.0
38,0,38,48.0,952.0,68.0,932.0
39,0,39,16.0,984.0,68.0,932.0
40,0,40,3.0,997.0,68.0,932.0
41,0,41,40.0,960.0,68.0,932.0
42,0,42,209.0,791.0,68.0,932.0
43,0,43,444.0,556.0,68.0,932.0
44,0,44,445.0,555.0,68.0,932.0
45,0,45,283.0,717.0,68.0,932.0
46,0,46,74.0,926.0,68.0,932.0
47,0,47,33.0,967.0,68.0,932.0
48,0,48,9.0,991.0,68.0,932.0
49,0,49,33.0,967.0,68.0,932.0
50,0,50,115.0,885.0,68.0,932.0
51,0,51,270.0,730.0,69.0,931.0
52,0,52,302.0,698.0,68.0,932.0
53,0,53,297.0,703.0,68.0,932.0
54,0,54,97.0,903.0,68.0,932.0
55,0,55,38.0,962.0,68.0,932.0
56,0,56,13.0,987.0,68.0,932.0
57,0,57,33.0,967.0,68.0,932.0
58,0,58,100.0,900.0,68.0,932.0
59,0,59,250.0,750.0,68.0,932.0
60,0,60,290.0,710.0,68.0,932.0
61,0,61,302.0,698.0,68.0,932.0
62,0,62,138.0,862.0,68.0,932.0
63,0,63,56.0,944.0,68.0,932.0
64,0,64,16.0,984.0,68.0,932.0
65,0,65,32.0,968.0,68.0,932.0
66,0,66,90.0,910.0,68.0,932.0
67,0,67,234.0,766.0,68.0,932.0
68,0,68,286.0,714.0,68.0,932.0
69,0,69,304.0,696.0,68.0,932.0
70,0,70,164.0,836.0,68.0,932.0
71,0,71,70.0,930.0,68.0,932.0
72,0,72,23.0,977.0,68.0,932.0
73,0,73,30.0,970.0,68.0,932.0
74,0,74,73.0,927.0,68.0,932.0
75,0,75,199.0,801.0,68.0,932.0
76,0,76,267.0,733.0,68.0,932.0
77,0,77,316.0,684.0,68.0,932.0
78,0,78,189.0,811.0,68.0,932.0
79,0,79,89.0,911.0,68.0,932.0
80,0,80,29.0,971.0,68.0,932.0
81,0,81,32.0,968.0,68.0,932.0
82,0,82,70.0,930.0,68.0,932.0
83,0,83,178.0,822.0,68.0,932.0
84,0,84,286.0,714.0,69.0,931.0
85,0,85,317.0,683.0,69.0,931.0
86,0,86,220.0,780.0,69.0,931.0
87,0,87,108.0,892.0,68.0,932.0
88,0,88,47.0,953.0,68.0,932.0
89,0,89,39.0,961.0,68.0,932.0
90,0,90,61.0,939.0,68.0,932.0
91,0,91,110.0,890.0,68.0,932.0
92,0,92,258.0,742.0,68.0,932.0
93,0,93,353.0,647.0,68.0,932.0
94,0,94,246.0,754.0,68.0,932.0
95,0,95,127.0,873.0,68.0,932.0
96,0,96,51.0,949.0,68.0,932.0
97,0,97,46.0,954.0,68.0,932.0
98,0,98,63.0,937.0,69.0,931.0
99,0,99,96.0,904.0,96.0,904.0
100,0,100,180.0,820.0,86.0,914.0
101,0,101,319.0,681.0,68.0,932.0
102,0,102,242.0,758.0,68.0,932.0
103,0,103,148.0,852.0,68.0,932.0
104,0,104,66.0,934.0,68.0,932.0
105,0,105,42.0,958.0,68.0,932.0
106,0,106,64.0,936.0,68.0,932.0
107,0,107,90.0,910.0,68.0,932.0
108,0,108,177.0,823.0,68.0,932.0
109,0,109,359.0,641.0,68.0,932.0
110,0,110,306.0,694.0,68.0,932.0
111,0,111,171.0,829.0,68.0,932.0
112,0,112,80.0,920.0,68.0,932.0
113,0,113,49.0,951.0,68.0,932.0
114,0,114,58.0,942.0,68.0,932.0
115,0,115,85.0,915.0,68.0,932.0
116,0,116,117.0,883.0,68.0,932.0
117,0,117,289.0,711.0,68.0,932.0
118,0,118,356.0,644.0,68.0,932.0
119,0,119,214.0,786.0,68.0,932.0
120,0,120,101.0,899.0,68.0,932.0
121,0,121,60.0,940.0,68.0,932.0
122,0,122,57.0,943.0,68.0,932.0
123,0,123,74.0,926.0,68.0,932.0
124,0,124,95.0,905.0,68.0,932.0
125,0,125,210.0,790.0,68.0,932.0
126,0,126,355.0,645.0,68.0,932.0
127,0,127,245.0,755.0,68.0,932.0
128,0,128,125.0,875.0,68.0,932.0
129,0,129,68.0,932.0,68.0,932.0
130,0,130,63.0,937.0,68.0,932.0
131,0,131,78.0,922.0,68.0,932.0
132,0,132,83.0,917.0,68.0,932.0
133,0,133,166.0,834.0,68.0,932.0
134,0,134,329.0,671.0,68.0,932.0
135,0,135,298.0,702.0,69.0,931.0
136,0,136,246.0,754.0,68.0,932.0
137,0,137,93.0,907.0,68.0,932.0
138,0,138,66.0,934.0,68.0,932.0
139,0,139,81.0,919.0,68.0,932.0
140,0,140,71.0,929.0,68.0,932.0
141,0,141,139.0,861.0,68.0,932.0
142,0,142,272.0,728.0,68.0,932.0
143,0,143,208.0,792.0,68.0,932.0
144,0,144,243.0,757.0,69.0,931.0
145,0,145,118.0,882.0,68.0,932.0
146,0,146,78.0,922.0,68.0,932.0
147,0,147,89.0,911.0,68.0,932.0
148,0,148,76.0,924.0,68.0,932.0
149,0,149,112.0,888.0,68.0,932.0
0,1,0,999.0,1.0,500.0,500.0
