,sim_id,time,S,I,C,D
0,0,0,999.0,1.0,500.0,500.0
1,0,1,998.0,2.0,229.0,771.0
2,0,2,806.0,194.0,153.0,847.0
3,0,3,476.0,524.0,22.0,978.0
4,0,4,130.0,870.0,15.0,985.0
5,0,5,35.0,965.0,15.0,985.0
6,0,6,9.0,991.0,15.0,985.0
7,0,7,1.0,999.0,15.0,985.0
8,0,8,1.0,999.0,15.0,985.0
9,0,9,192.0,808.0,15.0,985.0
10,0,10,374.0,626.0,15.0,985.0
11,0,11,423.0,577.0,15.0,985.0
12,0,12,331.0,669.0,13.0,987.0
13,0,13,108.0,892.0,13.0,987.0
14,0,14,33.0,967.0,13.0,987.0
15,0,15,8.0,992.0,13.0,987.0
16,0,16,2.0,998.0,13.0,987.0
17,0,17,148.0,852.0,13.0,987.0
18,0,18,328.0,672.0,13.0,987.0
19,0,19,313.0,687.0,13.0,987.0
20,0,20,321.0,679.0,13.0,987.0
21,0,21,157.0,843.0,13.0,987.0
22,0,22,58.0,942.0,13.0,987.0
23,0,23,21.0,979.0,13.0,987.0
24,0,24,8.0,992.0,13.0,987.0
25,0,25,118.0,882.0,13.0,987.0
26,0,26,231.0,769.0,13.0,987.0
27,0,27,301.0,699.0,13.0,987.0
28,0,28,324.0,676.0,12.0,988.0
29,0,29,274.0,726.0,12.0,988.0
30,0,30,99.0,901.0,12.0,988.0
31,0,31,38.0,962.0,12.0,988.0
32,0,32,25.0,975.0,12.0,988.0
33,0,33,94.0,906.0,12.0,988.0
34,0,34,197.0,803.0,12.0,988.0
35,0,35,269.0,731.0,12.0,988.0
36,0,36,231.0,769.0,12.0,988.0
37,0,37,284.0,716.0,12.0,988.0
38,0,38,222.0,778.0,12.0,988.0
39,0,39,73.0,927.0,12.0,988.0
40,0,40,40.0,960.0,12.0,988.0
41,0,41,80.0,920.0,12.0,988.0
42,0,42,168.0,832.0,12.0,988.0
43,0,43,244.0,756.0,12.0,988.0
44,0,44,227.0,773.0,12.0,988.0
45,0,45,191.0,809.0,12.0,988.0
46,0,46,214.0,786.0,12.0,988.0
47,0,47,104.0,896.0,12.0,988.0
48,0,48,51.0,949.0,12.0,988.0
49,0,49,74.0,926.0,12.0,988.0
50,0,50,150.0,850.0,12.0,988.0
51,0,51,213.0,787.0,12.0,988.0
52,0,52,216.0,784.0,12.0,988.0
53,0,53,197.0,803.0,12.0,988.0
54,0,54,214.0,786.0,12.0,988.0
55,0,55,128.0,872.0,12.0,988.0
56,0,56,67.0,933.0,12.0,988.0
57,0,57,72.0,928.0,12.0,988.0
58,0,58,133.0,867.0,12.0,988.0
59,0,59,196.0,804.0,12.0,988.0
60,0,60,202.0,798.0,12.0,988.0
61,0,61,193.0,807.0,12.0,988.0
62,0,62,217.0,783.0,12.0,988.0
63,0,63,165.0,835.0,12.0,988.0
64,0,64,82.0,918.0,12.0,988.0
65,0,65,78.0,922.0,12.0,988.0
66,0,66,124.0,876.0,12.0,988.0
67,0,67,185.0,815.0,12.0,988.0
68,0,68,186.0,814.0,12.0,988.0
69,0,69,190.0,810.0,12.0,988.0
70,0,70,190.0,810.0,12.0,988.0
71,0,71,188.0,812.0,12.0,988.0
72,0,72,114.0,886.0,12.0,988.0
73,0,73,98.0,902.0,12.0,988.0
74,0,74,128.0,872.0,12.0,988.0
75,0,75,182.0,818.0,12.0,988.0
76,0,76,177.0,823.0,12.0,988.0
77,0,77,193.0,807.0,12.0,988.0
78,0,78,173.0,827.0,12.0,988.0
79,0,79,177.0,823.0,12.0,988.0
80,0,80,115.0,885.0,12.0,988.0
81,0,81,89.0,911.0,12.0,988.0
82,0,82,121.0,879.0,12.0,988.0
83,0,83,161.0,839.0,12.0,988.0
84,0,84,165.0,835.0,12.0,988.0
85,0,85,203.0,797.0,12.0,988.0
86,0,86,175.0,825.0,12.0,988.0
87,0,87,201.0,799.0,12.0,988.0
88,0,88,138.0,862.0,12.0,988.0
89,0,89,95.0,905.0,12.0,988.0
90,0,90,119.0,881.0,12.0,988.0
91,0,91,154.0,846.0,12.0,988.0
92,0,92,152.0,848.0,12.0,988.0
93,0,93,194.0,806.0,12.0,988.0
94,0,94,156.0,844.0,12.0,988.0
95,0,95,196.0,804.0,12.0,988.0
96,0,96,149.0,851.0,12.0,988.0
97,0,97,107.0,893.0,12.0,988.0
98,0,98,129.0,871.0,12.0,988.0
99,0,99,171.0,829.0,12.0,988.0
100,0,100,159.0,841.0,12.0,988.0
101,0,101,194.0,806.0,12.0,988.0
102,0,102,177.0,823.0,12.0,988.0
103,0,103,219.0,781.0,12.0,988.0
104,0,104,172.0,828.0,12.0,988.0
105,0,105,126.0,874.0,12.0,988.0
106,0,106,112.0,888.0,12.0,988.0
107,0,107,162.0,838.0,12.0,988.0
108,0,108,146.0,854.0,12.0,988.0
109,0,109,178.0,822.0,12.0,988.0
110,0,110,159.0,841.0,12.0,988.0
111,0,111,210.0,790.0,12.0,988.0
112,0,112,165.0,835.0,12.0,988.0
113,0,113,127.0,873.0,12.0,988.0
114,0,114,111.0,889.0,12.0,988.0
115,0,115,157.0,843.0,12.0,988.0
116,0,116,141.0,859.0,12.0,988.0
117,0,117,165.0,835.0,12.0,988.0
118,0,118,153.0,847.0,12.0,988.0
119,0,119,212.0,788.0,12.0,988.0
120,0,120,203.0,797.0,12.0,988.0
121,0,121,148.0,852.0,12.0,988.0
122,0,122,123.0,877.0,12.0,988.0
123,0,123,139.0,861.0,12.0,988.0
124,0,124,134.0,866.0,12.0,988.0
125,0,125,151.0,849.0,12.0,988.0
126,0,126,137.0,863.0,12.0,988.0
127,0,127,173.0,827.0,12.0,988.0
128,0,128,187.0,813.0,12.0,988.0
129,0,129,172.0,828.0,12.0,988.0
130,0,130,131.0,869.0,12.0,988.0
131,0,131,149.0,851.0,12.0,988.0
132,0,132,139.0,861.0,12.0,988.0
133,0,133,163.0,837.0,12.0,988.0
134,0,134,137.0,863.0,12.0,988.0
135,0,135,172.0,828.0,12.0,988.0
136,0,136,163.0,837.0,12.0,988.0
137,0,137,191.0,809.0,12.0,988.0
138,0,138,145.0,855.0,12.0,988.0
139,0,139,156.0,844.0,12.0,988.0
140,0,140,135.0,865.0,12.0,988.0
141,0,141,160.0,840.0,12.0,988.0
142,0,142,131.0,869.0,12.0,988.0
143,0,143,163.0,837.0,12.0,988.0
144,0,144,158.0,842.0,12.0,988.0
145,0,145,175.0,825.0,12.0,988.0
146,0,146,148.0,852.0,12.0,988.0
147,0,147,152.0,848.0,12.0,988.0
148,0,148,149.0,851.0,12.0,988.0
149,0,149,170.0,830.0,12.0,988.0
0,1,0,999.0,1.0,500.0,500.0
1,1,1,998.0,2.0,616.0,384.0
2,1,2,743.0,257.0,131.0,869.0
3,1,3,313.0,687.0,107.0,893.0
4,1,4,109.0,891.0,120.0,880.0
5,1,5,36.0,964.0,113.0,887.0
6,1,6,7.0,993.0,193.0,807.0
7,1,7,1.0,999.0,174.0,826.0
8,1,8,1.0,999.0,183.0,817.0
9,1,9,255.0,745.0,181.0,819.0
10,1,10,482.0,518.0,270.0,730.0
11,1,11,316.0,684.0,395.0,605.0
12,1,12,145.0,855.0,330.0,670.0
13,1,13,57.0,943.0,185.0,815.0
14,1,14,18.0,982.0,188.0,812.0
15,1,15,4.0,996.0,190.0,810.0
16,1,16,1.0,999.0,200.0,800.0
17,1,17,203.0,797.0,195.0,805.0
18,1,18,412.0,588.0,175.0,825.0
19,1,19,339.0,661.0,156.0,844.0
20,1,20,206.0,794.0,159.0,841.0
21,1,21,111.0,889.0,414.0,586.0
22,1,22,37.0,963.0,169.0,831.0
23,1,23,15.0,985.0,165.0,835.0
24,1,24,3.0,997.0,227.0,773.0
25,1,25,161.0,839.0,247.0,753.0
26,1,26,350.0,650.0,247.0,753.0
27,1,27,433.0,567.0,238.0,762.0
28,1,28,242.0,758.0,375.0,625.0
29,1,29,138.0,862.0,514.0,486.0
30,1,30,68.0,932.0,210.0,790.0
31,1,31,29.0,971.0,596.0,404.0
32,1,32,8.0,992.0,659.0,341.0
33,1,33,129.0,871.0,510.0,490.0
34,1,34,193.0,807.0,533.0,467.0
35,1,35,376.0,624.0,559.0,441.0
36,1,36,269.0,731.0,371.0,629.0
37,1,37,153.0,847.0,512.0,488.0
38,1,38,91.0,909.0,554.0,446.0
39,1,39,46.0,954.0,581.0,419.0
40,1,40,18.0,982.0,475.0,525.0
41,1,41,110.0,890.0,483.0,517.0
42,1,42,169.0,831.0,466.0,534.0
43,1,43,338.0,662.0,503.0,497.0
44,1,44,276.0,724.0,518.0,482.0
45,1,45,159.0,841.0,700.0,300.0
46,1,46,102.0,898.0,722.0,278.0
47,1,47,66.0,934.0,714.0,286.0
48,1,48,25.0,975.0,745.0,255.0
49,1,49,97.0,903.0,580.0,420.0
50,1,50,155.0,845.0,587.0,413.0
51,1,51,314.0,686.0,609.0,391.0
52,1,52,344.0,656.0,626.0,374.0
53,1,53,201.0,799.0,640.0,360.0
54,1,54,115.0,885.0,648.0,352.0
55,1,55,78.0,922.0,656.0,344.0
56,1,56,33.0,967.0,656.0,344.0
57,1,57,81.0,919.0,654.0,346.0
58,1,58,128.0,872.0,648.0,352.0
59,1,59,228.0,772.0,655.0,345.0
60,1,60,330.0,670.0,657.0,343.0
61,1,61,225.0,775.0,655.0,345.0
62,1,62,140.0,860.0,666.0,334.0
63,1,63,93.0,907.0,676.0,324.0
64,1,64,51.0,949.0,675.0,325.0
65,1,65,82.0,918.0,676.0,324.0
66,1,66,143.0,857.0,674.0,326.0
67,1,67,208.0,792.0,687.0,313.0
68,1,68,306.0,694.0,687.0,313.0
69,1,69,249.0,751.0,687.0,313.0
70,1,70,167.0,833.0,687.0,313.0
71,1,71,104.0,896.0,687.0,313.0
72,1,72,59.0,941.0,686.0,314.0
73,1,73,54.0,946.0,777.0,223.0
74,1,74,118.0,882.0,740.0,260.0
75,1,75,190.0,810.0,751.0,249.0
76,1,76,272.0,728.0,752.0,248.0
77,1,77,275.0,725.0,759.0,241.0
78,1,78,188.0,812.0,742.0,258.0
79,1,79,125.0,875.0,745.0,255.0
80,1,80,65.0,935.0,749.0,251.0
81,1,81,49.0,951.0,767.0,233.0
82,1,82,96.0,904.0,778.0,222.0
83,1,83,172.0,828.0,793.0,207.0
84,1,84,231.0,769.0,710.0,290.0
85,1,85,263.0,737.0,726.0,274.0
86,1,86,236.0,764.0,750.0,250.0
87,1,87,159.0,841.0,772.0,228.0
88,1,88,82.0,918.0,785.0,215.0
89,1,89,56.0,944.0,790.0,210.0
90,1,90,87.0,913.0,790.0,210.0
91,1,91,150.0,850.0,793.0,207.0
92,1,92,220.0,780.0,794.0,206.0
93,1,93,238.0,762.0,795.0,205.0
94,1,94,225.0,775.0,794.0,206.0
95,1,95,184.0,816.0,795.0,205.0
